Cluster,SubCluster,Pass_mean,pass_median_start_mean,pass_median_width_start_mean,high_pass_mean,median_pass_length_mean,Carry_mean,Interception_mean,counterpress_count_mean,avg_directness_mean
Center Back,0,10.817001286191825,35.65833333333334,15.754166666666666,0.24881656967379276,21.499793,7.44435771642807,0.3818356930026718,0.8307529502398933,0.17581488321726774
Center Back,1,18.049144726076335,46.5972602739726,22.284246575342465,0.18443157896941348,19.144983931506847,13.441226889412588,0.4536268158066593,1.1163417319284525,0.18051979309487481
Center Back,2,22.031541928741326,45.21237623762376,15.132178217821782,0.14047642687179876,20.634235524752476,17.1765717838006,0.42180179657158245,0.912380912442142,0.1908321550799579
Center Midfield,0,10.848071921091371,56.78727272727273,16.611818181818183,0.17305364122271663,16.174633636363637,8.273920692493208,0.3379433397507571,1.9075380302998266,0.0805705636398334
Center Midfield,1,14.652151243046307,68.36262135922331,20.633495145631066,0.16070389129860477,15.084959252427183,12.934094662749615,0.2901467852937959,2.4706872327347473,0.06765447857548525
Center Midfield,2,22.76504332580655,60.562121212121205,17.788383838383837,0.1480534089064962,16.525191373737375,18.216508161685685,0.5901547676029248,2.68650034027256,0.09382396255207417
Goalkeeper,0,11.710976153912421,12.123214285714285,4.671428571428572,0.4143065144731001,32.96774880357143,6.856382499317894,0.0,0.0007711817932547299,0.336580423208964
Goalkeeper,1,9.680814307228491,9.033333333333333,4.113725490196079,0.3680351000564097,27.591013921568628,4.971061608805993,0.0,0.009812758089623744,0.3085437283663049
Goalkeeper,2,10.356323234450038,9.484883720930233,4.39186046511628,0.6307779625909752,48.45922569767442,4.382078391880787,0.0,0.009566310275831868,0.37290722978601515
Striker,0,5.062335898989682,78.79019607843138,16.708823529411763,0.17931688470352403,12.56707955882353,4.650221367328985,0.05872184202382079,1.1880412516368801,0.029684440731434007
Striker,1,6.302167586533835,67.1467741935484,19.335483870967742,0.19976439323885295,13.5180545,6.025477094464562,0.1141518949156002,1.5760307422117916,0.030358882632757666
Striker,2,9.183048416409248,77.29807692307692,18.9625,0.1524444912107772,12.582455865384615,9.042368649863983,0.1294028645767627,2.0609649233656424,0.033092968100206004
Wide Back,0,19.153736268106606,57.641000000000005,29.471999999999998,0.181297166025183,16.511180965,14.244966035736985,0.4530474162895785,1.5359428711894578,0.11287591310770206
Wide Back,1,11.912519701127017,52.547701149425286,33.66781609195402,0.2970040906180695,17.177186620689657,7.245092399280013,0.48998093825528827,1.4223685872882998,0.15574754295099102
Wide Back,2,18.85563185455723,67.45046296296296,33.60138888888889,0.20481663212627138,15.972807224537037,13.473569994630862,0.4957402359426092,1.7036633707426556,0.08502942327562477
Wide Midfield,0,15.114471116057492,79.18030303030302,23.750757575757575,0.14930471882607693,14.148117613636364,14.484889072276149,0.2851738861798417,2.265550675675876,0.05023420406777301
Wide Midfield,1,7.827921311734571,71.01898734177215,27.25,0.18955994332850543,14.50754799556962,8.032152341646826,0.2881673256003533,1.8197852933072567,0.06514477358515644
Wide Midfield,2,10.713480912622714,85.50730337078652,28.961797752808987,0.16487624539217108,13.766010101123596,11.520080246714357,0.21376867135974456,1.7070888166346898,0.04754215173840067
